true_emotion,predicted_emotion,scenario,subject,qid
Excitement,Excitement,"Charlene is a big fan of Taylor Swift. She has been saving up her allowance for a year to go to her concert. One day, as she was sitting in a cafe, she decided to try buying a Taylor Swift concert ticket. She knew there was a long waitlist of people wanting to go to the concert, but she still gave it a try. After around thirty minutes, she became one of the few to buy the tickets. She screamed the moment she received the email for her purchase confirmation. Immediately after, she realized what she had done and apologized to the other customers.",Charlene,19
Excitement,Sadness,"Naomi just graduated high school and is about to attend college abroad in three days. This is the first time she is separated from her family and has to live on her own. While packing, although she's grown up and doesn't play with toys anymore, Naomi brought a doll that her mother gave her as a child.",Naomi,20
Annoyance,Disappointment,"I applied to eight different universities to pursue my Bachelor's degree. Each decision letter came in differing dates. I waited until I received all the decision letters and opened them simultaneously. After opening the letters, I found that five of the universities, including my dream university, rejected me. Yet, one of the other three had offered to provide a full scholarship.",I,21
Remorse,Relief,"I had a challenging physics exam today. Yet, I was well prepared. I answered most of the questions in the exam in a short amount of time and was sure of my answers. However, when I got to the last question, I could not figure out a solution and ended up spending the rest of the exam on it. The moment I came out of the exam hall and started discussing the questions with my friends, I suddenly came up with a solution for the question.",I,22
Pride,Pride,"Taylor had to complete a group project for the human-computer interaction course. The teams were assigned randomly, and Taylor was excited about meeting new teammates. During weeks of working on the project, he realized he was the only one doing the work, and none of his teammates were willing to help. After all projects were submitted and assessed, his group's project was selected as the best and got the highest mark.",Taylor,23
Disappointment,Disappointment,"Laura owns a bakery. She recently got a chance to compete in a high-profile national baking competition. After weeks of grueling preparation, she made it to the final round but unfortunately finished in second place. Despite this, she was praised for her work by her baking idol, a renowned pastry chef.",Laura,24
Pride,Pride,"Patrick is a passionate soccer player on his high school team. For the whole year, he has been practicing hard to win the championship. On the final day of the match, his leg gets injured. Yet, he still decides to finish the game. Surprisingly, Patrick scored the final goal, leading the team to victory. However, after the match, he found out that his injury needed numerous weeks of medical rest.",Patrick,26
Love,Love,"Lora left her husband with her toddler to go grocery shopping. When she got back home, she saw her husband with her toddler on top of his chest, sleeping on the couch, before noticing the mess in the living room.",Lora,27
Gratitude,Anger,"Every evening, Alexa used to water her vegetable garden, which was in the backyard of her home. One evening, a group of children playing soccer in the nearby ground accidentally kicked the ball into her garden, damaging some of her plants. Alexa destroyed their ball to show her anger. The following afternoon, she saw the children arrive with new plants, apologizing for their actions and asking if they could have their ball back.",Alexa,28
Sadness,Joy,"Gabriel has had a long and tough day. He woke up early to go to work, got shouted at by his boss, and was laughed at by his coworkers. Then, he found that he might need to find a new job due to his recent failures. On his way home, Gabriel bought an ice cream to make himself feel better, but it fell to the ground right as he wanted to start eating it. Then, he started laughing hysterically.",Gabriel,30
Delight,Sadness,"When Clai was about to graduate from college, Michi, her best friend, told her that she wasn't able to come to her graduation. During the graduation day, Clai was walking down the stage to receive her diploma when suddenly she heard loud cheering and saw Michi.",Clai,31
Caring,Guilt,"When Clai was about to graduate from college, Michi, her best friend, told her that she wasn't able to come to her graduation. During the graduation day, Clai was walking down the stage to receive her diploma when suddenly she heard loud cheering and saw Michi.",Michi,32
Nervousness,Hopeless,"Rea is disliked by her classmates due to her high grades. Last week, their class had a very challenging chemistry test. When the papers were graded and handed out, Rea realized that she was the only student who passed the test among her classmates. So, she immediately tore her test paper and threw it out before anyone else saw it.",Rea,33
Oblivious,Disapproval,"Rea is disliked by her classmates due to her high grades. Last week, their class had a very challenging chemistry test. When the papers were graded and handed out, Rea realized that she was the only student who passed the test among her classmates. So, she immediately tore her test paper and threw it out before anyone else saw it.",Rea's Classmates,34
Guilt,Guilt,"Ella gave her daughter Ada a music box for her 6th birthday, it played her favorite classical songs. Ada loved the music box and used to listen to it every night before bed. When Ada turned 10, she accidentally broke the music box. So, she hid the broken box and never mentioned the incident to Ella. One day, while cleaning, Ella found the broken music box and comforted Ada telling her that accidents happen.",Ada,36
Surprise,Guilt,"Elise and Damon had been the best of friends since their high school days. Recently, Elise developed feelings for Damon and decided to confess. She rehearsed and finally, with her heart pounding, she confessed her feelings. Damon told her he had been in a relationship with someone else for a couple of months. Elise congratulated him and left hurriedly.",Damon,38
Pride,Jealousy,"Diana was a self-taught artist, while her sister Eliana has been going to classes since she was a child. Eliana often criticized Diana for her lack of creativity. One day, Eliana entered a prestigious photo contest and lost. She then found out that Diana had won the same contest with her artwork. So, she went online to write comments on how the judges do not understand art.",Diana,39
Loathe,Jealousy,"Jane's mother is very strict and always undermines her accomplishments at home. One day, Jane showed her mother the test paper on which she had scored 95 points out of 100. Her mother only said that she should have gotten full marks on such a simple test. However, when other parents are present, she openly talks about Jane's grades and excitedly praises her daughter.",Jane,43
Admiration,Disappointment,"Jane's mother is very strict and always undermines her accomplishments at home. One day, Jane showed her mother the test paper on which she had scored 95 points out of 100. Her mother only said that she should have gotten full marks on such a simple test. However, when other parents are present, she openly talks about Jane's grades and excitedly praises her daughter.",Jane's mother,44
Caring,Sentimental,"Angie and Shawn are a very close couple, but they haven't been on the best terms for the last two weeks. Today is the 28th. On this day of every month, Shawn would buy a bouquet of flowers and put them in the living room to express his love for Angie. As Shawn passed by the flower shop, he started pondering deeply, and after some time, he walked in to buy a bouquet.",Shawn,45
Disappointment,Pride,"The result of the hard chemistry test is finally out today. Victoria found out that, while she didn't pass the test, she earned a higher score than Bertha, her rival.",Victoria,46
Disappointment,Jealousy,"The result of the hard chemistry test is finally out today. Victoria found out that, while she didn't pass the test, she earned a higher score than Bertha, her rival.",Bertha,47
Delight,Guilt,"Andre is a doctor. Due to the constant emergencies happening in the past few months, Andre hasn't had the time to be with his girlfriend. So, this weekend, he decided to take his girlfriend on a romantic date night. Nearing the end of the main course, he got a call from his friend at the hospital telling him to enjoy the night.",Andre,48
Gratitude,Annoyance,"To celebrate moving into his new house, Zhongli hosted a housewarming party and invited one of his best friends, Ollie. Around 6 p.m., Ollie arrived at Zhongli's house and entered without taking off his shoes. Seeing this, Zhongli told him to take off his shoes and offered a pair of slippers to use inside the house.",Ollie,51
Disapproval,Disgust,"Samira and Amy decided to get dinner together at an Indian restaurant. Amy is American and has never had Indian Food. They came to this restaurant because Samira wanted Amy to try her culture and food. Once the food arrived, Samira started eating with her hands and mentioned how it reminded her of her mom's cooking.",Amy,52
Embarrassment,Joy,"On her trip to Japan, Jessica visited a sushi place with many good reviews. She ordered many items on the menu for herself and enjoyed her dinner to the fullest. Then, she asked for the receipt and put in a generous twenty-dollar tip. After noticing the tip, the waitress took it and returned it to Jessica.",Jessica,54
Disapproval,Embarrassment,"On her trip to Japan, Jessica visited a sushi place with many good reviews. She ordered many items on the menu for herself and enjoyed her dinner to the fullest. Then, she asked for the receipt and put in a generous twenty-dollar tip. After noticing the tip, the waitress took it and returned it to Jessica.",the waitress,55
Embarrassment,Annoyance,"Weili recently came over to Germany from China for a student exchange program. Earlier today, Samantha, her German classmate, invited her to a movie that started at half past seven. In Europe, unlike China, movies usually start twenty to thirty minutes late. Weili showed up at the cinema at around eight but Samantha didn't mention anything about it.",Weili,56
Surprise,Guilt,"Xiaofeng, who is from China, and his friends usually don't go Dutch when eating out and instead have one of them pay the bill. One day, he brought Henry, his American friend, to a dinner party. After the meal, Henry naturally took out his credit card and prepared to split the bill. Xiaofeng smiled and refused.",Henry,59
Excitement,Disapproval,"Bill was learning how to use chopsticks from his Chinese friend, Xiao. After several attempts, Bill finally successfully picked up a handful of rice with his chopstick and after eating the rice, he put the chopsticks upright inside the rice bowl. Xiao immediately took the chopsticks out and put them on the chopsticks rest.",Bill,60
Admiration,Disapproval,"Bill was learning how to use chopsticks from his Chinese friend, Xiao. After several attempts, Bill finally successfully picked up a handful of rice with his chopstick and after eating the rice, he put the chopsticks upright inside the rice bowl. Xiao immediately took the chopsticks out and put them on the chopsticks rest.",Xiao,61
Disapproval,Embarrassment,"Alexandra had a meeting with Chinese supervisor, Li. In this meeting, she straightforwardly pointed out the flaws in Li's presentation and told her the mistakes she had made.",Li,62
Disapproval,Acceptance,"Fatemeh, an Iranian student studying in the US, invited her classmate Janice over for lunch. As per Iranian tradition, Fatemeh immediately offered Janice slippers to wear inside the house, which Janice politely declined, saying she prefers her own shoes.",Fatemeh,63
Gratitude,Relief,"Fatemeh, an Iranian student studying in the US, invited her classmate Janice over for lunch. As per Iranian tradition, Fatemeh immediately offered Janice slippers to wear inside the house, which Janice politely declined, saying she prefers her own shoes.",Janice,64
Oblivious,Disappointment,"On her visit to China from the US, Lucia was invited by her new Chinese coworker, Ling, to a dinner gathering with friends. When it was time to order, Ling ordered for the whole table and gave back the menu before Lucia could have a look. When the food was served, Lucia looked at the dishes and said ""I can take this one,"" before choosing one of the dishes to eat.",Lucia,67
Oblivious,Disapproval,"On her visit to China from the US, Lucia was invited by her new Chinese coworker, Ling, to a dinner gathering with friends. When it was time to order, Ling ordered for the whole table and gave back the menu before Lucia could have a look. When the food was served, Lucia looked at the dishes and said ""I can take this one,"" before choosing one of the dishes to eat.",Ling,68
Oblivious,Oblivious,"Due to higher pay, Lincoln moved from the US to Dubai in Ramadan. On his first day at work, He suggested a team meeting over lunch with his new coworker, Ali, to know each other better. However, Ali responded with a direct ""No"" without any further explanation.",Lincoln,69
Acceptance,Disappointment,"During her visit to India, Sophia became close to Laila, her Indian Coworker, and was invited to attend her birthday party. As she wanted to stand out, she wore her favorite white dress. When Laila saw Sophia, she gently went up to her and told her what her dress indicated.",Laila,72
Embarrassment,Annoyance,"Before passing away, Max's grandmother gave him a ring that had been passed down generations in their family. She told him that he may pass it down to his children one day. Yesterday, Max's friend, Jason, borrowed the ring to include it in his family values and heritage presentation. After the presentation, he couldn't find the ring, no matter how hard he looked. So, he offered Max to buy him a similar ring in return.",Jason,73
Annoyance,Gratitude,"Before passing away, Max's grandmother gave him a ring that had been passed down generations in their family. She told him that he may pass it down to his children one day. Yesterday, Max's friend, Jason, borrowed the ring to include it in his family values and heritage presentation. After the presentation, he couldn't find the ring, no matter how hard he looked. So, he offered Max to buy him a similar ring in return.",Max,74
Unbothered,Caring,"I was going on a date last week and desperately needed a formal shirt. I asked George if I could borrow his. He lent me his favorite shirt, which he thought was irreplaceable since it was given to him by his mother. During the date, I got some cake on the shirt and couldn't wash it off. I looked it up, and it turns out I could buy the same shirt for a couple of bucks. So, I decided just to buy him a new shirt to replace it. I bet he won't mind.",I,75
Anger,Gratitude,"I was going on a date last week and desperately needed a formal shirt. I asked George if I could borrow his. He lent me his favorite shirt, which he thought was irreplaceable since it was given to him by his mother. During the date, I got some cake on the shirt and couldn't wash it off. I looked it up, and it turns out I could buy the same shirt for a couple of bucks. So, I decided just to buy him a new shirt to replace it. I bet he won't mind.",George,76
Embarrassment,Guilt,"Yesterday, right before my exam, I realized I didn't bring any pens to take the exam. I asked my friend Kevin if I could borrow one of his. He gave me a pen and told me I could keep it after the exam since he had many. When I returned home after the exam, I realized I had lost Kevin's pen. I looked everywhere, but couldn't find it. When I met Kevin today, I asked him how much he paid for it so I could give him the money.",I,77
Unbothered,Disapproval,"Yesterday, right before my exam, I realized I didn't bring any pens to take the exam. I asked my friend Kevin if I could borrow one of his. He gave me a pen and told me I could keep it after the exam since he had many. When I returned home after the exam, I realized I had lost Kevin's pen. I looked everywhere, but couldn't find it. When I met Kevin today, I asked him how much he paid for it so I could give him the money.",Kevin,78
Anger,Disappointment,"Hannah is a massive fan of the Backstreet Boys. She had a poster hanging on her room's wall and had it signed when she went to the fan meeting with them. One day, Hannah and her sister were studying together in her room. Accidentally, her sister ripped the poster. Thinking it was just a poster, her sister offered to buy a new one.",Hannah,79
Sentimental,Sentimental,"I come from a poor family. One day, after being accepted to the university, my family congratulated me and gifted me with a bag for the first time. 9 years later, my husband and I moved houses after getting married. While unpacking, he found a bag that was torn and dirty. My parents gave me that bag as a gift for getting accepted into my dream university. He wanted to throw it away and said I wouldn't need it since it's useless.",I,81
Oblivious,Sadness,"I come from a poor family. One day, after being accepted to the university, my family congratulated me and gifted me with a bag for the first time. 9 years later, my husband and I moved houses after getting married. While unpacking, he found a bag that was torn and dirty. My parents gave me that bag as a gift for getting accepted into my dream university. He wanted to throw it away and said I wouldn't need it since it's useless. How would I feel?",my husband,82
Amusement,Sentimental,"It's been a long time since Nick visited the park where he spent his childhood days. So, he planned a visit and took his young son, Phil. On the way, they crossed the old tree where Nick used to play with his friends. He noticed that his son was looking at the engraved initials on the tree with his eyes wide open.",Phil,86
Gratitude,Disgust,"After her breakup, Helena did not want to be reminded of her ex. While cleaning up her room, she found pieces of a letter in the trash and asked her mom about it. Her mom told her that the letter was from her ex, and she decided to tear it and throw it out.",Helena,88
Unbothered,Disgust,"Luna has always avoided seeing any hole patterns due to her trypophobia. She usually succeeds in avoiding patterns clustered with holes in them. One day, Luna and her family went to a restaurant for lunch. Once they placed the orders, the waitress served her drink with a straw in it.",Luna,89
Excitement,Fear,"I have had acrophobia since I was a young child. Today, at work, the elevator was out of order, and I had to take the stairs to reach my office. I considered it a small exercise since I haven't had much time to work out recently. My office is on the last floor of this tall building.",I,91
Joy,Sadness,"I have a hard time dealing with people and am very antisocial. I can easily get overwhelmed by talking to others. Tonight, after work, I spent a lonely night all by myself watching movies.",I,92
Excitement,Fear,"The last time Andrew went to Disneyland, he fractured his leg on the way to his favorite ride he was running up the steps carelessly. Today, after several requests from his girlfriend, they went to Disneyland and were waiting for the same ride.",Andrew,93
Admiration,Pride,"Ted has won the arm wrestling championship for seven years in a row. Ricky, who is new to the game, decides to give it a shot for fun and challenge Ted despite knowing that he will lose. Ricky lost.",Ted,95
Amusement,Embarrassment,"Ted has won the arm wrestling championship for seven years in a row. Ricky, who is new to the game, decides to give it a shot for fun and challenge Ted despite knowing that he will lose. Ricky lost.",Ricky,96
Gratitude,Nervousness,"Angela has a phobia of bees, and she gets very nervous when there are bees flying around. Today, I gifted her a bottle of honey.",Angela,97
Unbothered,Fear,"Molly has always been afraid of darkness due to her Nyctophobia. She effortlessly avoids all unlit places and activities to feel at ease. This evening, Molly and her classmates were assigned an astronomy project that required them to observe stars in the Sahara in the afternoon.",Molly,98
Delight,Sadness,"Sam, a 45-year-old introverted scientist, has been struggling for years with social anxiety. Today, he is asked to give a speech in front of numerous respected peers about his recent cutting-edge discovery. But, his wife was the only person who showed up to the speech.",Sam,101
Relief,Sadness,"Sara has always been very superstitious. Yesterday, despite loving her job, She decided to quit as her office shifted to the 13th floor of her building.",Sara,102
Excitement,Disappointment,"Jacob is very organized and likes to schedule events in his Calender. Originally, he and his girlfriend, Stephanie, were planning on a date this afternoon, so he scheduled his whole day around it. At noon, Stephanie messaged him that since She didn't have anything for the day, her friends invited her to a fabulous birthday party that she will go to.",Stephanie,104
Disappointment,Gratitude,"Catherine, a young aspiring musician, had difficulty finding her voice and often mimicked the style of popular singers. However, she hates copying others and wants to be original. One day, during a live performance, she hit a high note perfectly, just like her favorite artist would, and the crowd clapped and cheered for her. Upon hearing the crowd's cheers, Catherine's eyes welled up with tears.",Catherine,105
Relief,Hopeless,"Greg was raised in a conservative family. Therefore, Greg did not have much freedom in selecting jobs and applied for a job that could satisfy his family's requirements but not his own. When the decision letter came out, he was rejected by the company and they wished him the best of luck. He sighed.",Greg,106
Admiration,Relief,"Professor Adams had instructed John to complete a physics experiment. John, who isn't good at science, tried hard to focus on the experiment. After hours of work, when John completed the experiment, he found out that his result was the expected one. He sighed and called Professor Adams to share his results.",Professor Adams,108
Joy,Sadness,"Irene wanted to skip class, so she sniffled and groaned in pain in front of the teacher. The teacher excused her from the class and asked her to go to the infirmary.",Irene,110
Delight,Disappointment,"While being best friends, Alex and Charlie support different soccer teams. So, when it was time for their favorite teams to play against each other, they gathered in a bar to watch the match. Alex's team was dominant during the whole game and was winning until the last minute, when Charlie's team scored a sudden goal to win the match. At this moment, both Alex and Charlie started to shout.",Charlie,112
Joy,Nervousness,"While standing in the cold, Natalie, who was under-dressed, went to an outdoor coffee shop to buy a cup of hot cocoa, which she craved deeply. Her voice was trembling when she was ordering and sighed as she took the first sip.",Natalie,114
Excitement,Hopeless,"Arnold has spent the last week working on a bug in his program. His boss has been pressuring him to fix it, but he has no idea what part of the code is wrong. So, he tried to explain his code to his coworker, and during his explanation, he paused and gasped loudly.",Arnold,115
Joy,Joy,"Chris absolutely loves drinking alcohol, regardless of its taste, and considers it his favorite hobby. His favorite type of alcohol is Whiskey. Yesterday, he went to his friend's bar to try out their new Whiskey-based cocktail. As Chris finished the drink in one big gulp, his nose wrinkled, and his eyes diminished. He then thanked his friend and asked for another cup.",Chris,119
Joy,Embarrassment,"Vivian had a habit of shaking her legs as a way of having fun or when she wanted to focus. One day, when she was doing her project in the lab and shaking her leg, Jane approached her and asked if she was okay.",Vivian,120
Pride,Joy,"For the new semester, the university has organized a 10-mile marathon for new students. Isaac is new to running, but he wants to participate in this marathon and finish it, regardless of how long it takes him. So, he prepared many days prior to the event. On the day of the event, after crossing the finish line, Isaac stood with his arms akimbo and face frowning. Then, he found a smile on his face.",Isaac,122
Hopeful,Nervousness,"It was the day of the school's talent competition. Backstage, Sara, who was performing her stand-up comedy show, felt like she had prepared a good sketch for her act and only needed one last rehearsal. So she started pacing back and forth while mumbling words.",Sara,124
Anticipation,Guilt,"When Tommy participated in the community election, he asked his friends to add fake votes to the number of votes he got so that he could win. When the results were announced, Tommy realized that he had won the election, he covered his mouth and gave an expression of awe while thanking those who voted for him.",Tommy,125
Embarrassment,Oblivious,"India and Jane had prepared a surprise for their best friend, Blair, whose birthday was in 3 days. A day before Blair's birthday, the three of them were playing together in Blair's room and India started talking about the surprise. Before India could talk further, Jane faked a cough and gave India a stare.",India,126
Anger,Embarrassment,"Richelle dropped off her 3-year-old daughter to her mother today to attend a work meeting. She specifically reminded her mother not to spoil her daughter too much. When she went to pick her daughter up from her mother, she saw that her daughter was eating chocolate, while happily smiling and her face and hands covered in chocolate.",Richelle,129
Embarrassment,Disappointment,"In a trivia challenge, Aaron's team was lagging behind. Suddenly, a question from his expertise area popped up, and Aaron swiftly buzzed in to answer. He looked around at his team with a smirk and winked. His answer was announced incorrect.",Aaron,130
Disappointment,Joy,"Nadia was incredibly excited about her upcoming graduation. On the day she was supposed to receive her degree, her parents said they had a surprise for her. When they revealed two new hardcover books as her surprise graduation gift, she managed a smile.",Nadia,131
Nervousness,Fear,"Rosy and Andie went on a hike. Rosy's blood sugar gets low very quickly, so she brought chocolates with her. During the hike, Andie saw Rosy's face had gone pale while she was grabbing a piece of chocolate, so she said ""Sorry, did I scare you?"".",Rosy,132
Amusement,Caring,"Rosy and Andie went on a hike. Rosy's blood sugar gets low very quickly, so she brought chocolates with her. During the hike, Andie saw Rosy's face had gone pale while she was grabbing a piece of chocolate, so she said ""Sorry, did I scare you?"".",Andie,133
Embarrassment,Embarrassment,"Lauren's birthday is coming, and I bought her a doll as a surprise gift. She came to my place two days before her birthday, and I forgot to cover the gift left on my nightstand. Lauren started laughing the moment she saw it. She called the doll ugly and made jokes about why anyone would even buy such a doll. I told her that maybe some people consider it a nice gift. She disagreed.",I,134
Delight,Disapproval,"Lauren's birthday is coming, and I bought her a doll as a surprise gift. She came to my place two days before her birthday, and I forgot to cover the gift left on my nightstand. Lauren started laughing the moment she saw it. She called the doll ugly and made jokes about why anyone would even buy such a doll. I told her that maybe some people consider it a nice gift. She disagreed.",Lauren,135
Oblivious,Joy,"Naira went to the school theatre to watch the Lion King recital brought by the school's theatre club. Little did she know that Harry, her close friend, was the actor for Simba, who was under heavy makeup for his role. Once the performance was over, there was a chance for some selected audience to meet the performers backstage, Naira being one of them. Naira told the crew that apart from Simba's performance, she enjoyed the show a lot.",Naira,136
Embarrassment,Joy,"Naira went to the school theatre to watch the Lion King recital brought by the school's theatre club. Little did she know that Harry, her close friend, was the actor for Simba, who was under heavy makeup for his role. Once the performance was over, there was a chance for some selected audience to meet the performers backstage, Naira being one of them. Naira told the crew that apart from Simba's performance, she enjoyed the show a lot.",Harry,137
Oblivious,Embarrassment,"Alina and several colleagues are going to have a dinner meeting with a new business partner, and they plan to go to Bill's Bar after dinner to continue chatting. She wanted to tell more colleagues to join the bar party after dinner, so she sent a message to the work group, but she missed one word without realizing it. The message she sent was to go to Bill's Bar for dinner. It turned out that her colleague Samantha arrived at Bill's Bar during dinner time and found that no one was there.",Alina,138
Annoyance,Embarrassment,"Alina and several colleagues are going to have a dinner meeting with a new business partner, and they plan to go to Bill's Bar after dinner to continue chatting. She wanted to tell more colleagues to join the bar party after dinner, so she sent a message to the work group, but she missed one word without realizing it. The message she sent was to go to Bill's Bar for dinner. It turned out that her colleague Samantha arrived at Bill's Bar during dinner time and found that no one was there.",Samantha,139
Joy,Oblivious,"John invited his friends, Mark and Alice, over for a game night. Mark arrived early, and as John was setting up, he saw a piece of abstract art on the wall. Mark, not realizing it was John's own creation, mentioned it looked like it was made by a child. Alice, who was familiar with the paintings, remained silent, giving a knowing glance to John.",Mark,141
Caring,Guilt,"John invited his friends, Mark and Alice, over for a game night. Mark arrived early, and as John was setting up, he saw a piece of abstract art on the wall. Mark, not realizing it was John's own creation, mentioned it looked like it was made by a child. Alice, who was familiar with the paintings, remained silent, giving a knowing glance to John.",Alice,142
Embarrassment,Disgust,"Mina's mother was trying a new recipe for dinner. When Mina came home after doing sports with her friends, she smelled something bad and asked her mom if some food had gone bad in the house.",Mina's mother,144
Sadness,Disgust,"Fatima and her family were invited to a dinner at their neighbor's house. Fatima's neighbor, Jennifer, had recently adopted a vegetarian diet for ethical reasons. During dinner, Jennifer served a delicious vegetarian lasagna that she had made herself. Fatima, who was unaware of Jennifer's diet choice, took a bite and immediately made a face of disgust. She asked Jennifer why she didn't add any meat to the lasagna, as it would taste much better that way.",Jennifer,148
Embarrassment,Joy,"Ava was excited to introduce her new boyfriend Zach to her extended family at her grandma's 80th birthday party. She brought Zach over to meet her grandma and he said ""Wow, you look amazing for 100!""",Ava,151
Caring,Embarrassment,"Ava was excited to introduce her new boyfriend Zach to her extended family at her grandma's 80th birthday party. She brought Zach over to meet her grandma and he said ""Wow, you look amazing for 100!""",Zach,152
Caring,Embarrassment,"Sasha recently moved to Mexico for work and had to learn Spanish quickly. She took some lessons and thought she was doing okay in her new language. At a departmental lunch, she tried to compliment her coworker's outfit but ended up saying ""You look like a chicken"" without realizing it due to a mix-up in her vocabulary.",Sasha,153
Disapproval,Embarrassment,"Sasha recently moved to Mexico for work and had to learn Spanish quickly. She took some lessons and thought she was doing okay in her new language. At a departmental lunch, she tried to compliment her coworker's outfit but ended up saying ""You look like a chicken"" without realizing it due to a mix-up in her vocabulary.",Sasha's coworker,154
Disapproval,Embarrassment,"Oliver was visiting his friend Thomas, who just moved into a new house. Thomas was proud of his modern home and gave Oliver a full tour, ending with his new smart home system. Oliver, not very technology-savvy, couldn't help but express how complicated it all seemed and wondered out loud why anyone would need so many features that barely seemed necessary.",Oliver,155
Disappointment,Pride,"Oliver was visiting his friend Thomas, who just moved into a new house. Thomas was proud of his modern home and gave Oliver a full tour, ending with his new smart home system. Oliver, not very technology-savvy, couldn't help but express how complicated it all seemed and wondered out loud why anyone would need so many features that barely seemed necessary.",Thomas,156
Pride,Disappointment,"I have a teacher who gives the F grade as the highest mark since he believes F stands for Full. After our hard test yesterday, I just got my exam paper back and saw that he gave me an F.",I,159
Delight,Sadness,"Instead of grading our papers, my professor likes to write the number of mistakes as our assignment score. After submitting our final project last week, I wasn't sure if I did well. Today, I finally got my assignment breakdown and saw 1 out of 10 on it.",I,160
Amusement,Disapproval,"Bella, a traveler, looked up on the internet for a fun and interesting restaurant in the town. It said there is a restaurant famous for its rude customer service, and many people queue to eat there. So Bella decides to go to this restaurant for dinner. Once she sat down, she was greeted by the waitress, who included profanities.",Bella,161
Embarrassment,Gratitude,"In a small town where a traditional festival is revered, the locals organize a pie-eating contest. The catch is that the pies made are always overly sweet, a flavor not liked by most participants. Despite knowing this, Brian signed up for the contest. As he took the first bite, his face squished up. Yet, he changed it to a smile and thanked the chefs.",Brian,162
Unbothered,Pessimism,"Timmy has always earned a lower-than-expected or failing mark on all of his subjects, to the point that he doesn't seem to expect anything else. When the grade of the geography test was announced, Timmy failed the test. Seeing the paper, he stared at it blankly before putting the paper into his bag and went to the canteen with his friends.",Timmy,163
Unbothered,Jealousy,"Vincent asked Janice to be his pretend girlfriend with no feeling involved, so that he could make his ex jealous, to which Janice agreed. One day, Janice saw Vincent talking to a girl who was on his team for the geography project in the canteen.",Janice,164
Unbothered,Guilt,"Nick was caught cheating on his math exam by his teacher, which resulted in him getting a zero on the exam. He had another exam the day after, but he didn't study at all. So, when it was time for the exam, he cheated again.",Nick,165
Gratitude,Sadness,"Anna really wanted chocolate cake. So, her good friend, Sally, decided to buy a chocolate cake. Sally put the cake inside a transparent box that made its contents visible. The box said vanilla cake on it. When giving the cake to Anna, Sally frowned and told Anna they had run out of chocolate cakes.",Anna,166
Amusement,Disapproval,"Anna really wanted chocolate cake. So, her good friend, Sally, decided to buy a chocolate cake. Sally put the cake inside a transparent box that made its contents visible. The box said vanilla cake on it. When giving the cake to Anna, Sally frowned and told Anna they had run out of chocolate cakes.",Sally,167
Disappointment,Gratitude,"In our city, cars considered as wealth are rusted vehicles. Today, my parents gifted me a shiny new car on my birthday.",I,169
Excitement,Disappointment,"Andrea grew up in a place where getting soaked in the rain without any protection is considered an adventurous fun activity. Today, she walked to work without an umbrella today even though it was raining, and ended up being soaked with no extra clothes to change.",Andrea,170
